SMILES,melt viscosity
C=C,16.3
CC=C,87
CCC=C.C\C=C\C,3120
CC(C)=C,75
C=Cc1ccccc1,1.41
CCc1ccc(O)cc1,3000
C=Cc1ccccn1,40000
COC=C,180
COC(=O)C=C,110000
CCCCOC(=O)C=C,10
CCC(C)(C)C(=O)OC,1000
CCOC(=O)C(C)=C,320
CCCCOC(=O)C(C)=C,6420
CC(C)COC(=O)C(C)=C,4600
CC(=C)C(=O)OC(C)(C)C,0.0033
ClC=C,832
FC(F)=C,22000
FC(F)=C(F)F,1
C=O,150
OCCO,0.06
CCCC(OC=C)OC=C.CC(=O)OC=C.C=CO,1200000
OCCO.OC(=O)CCC(O)=O,1
OCCO.OC(=O)c1ccc(cc1)C(O)=O,175
O=C1CCCCCO1,40.5
CC(O)C(O)=O,980
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,47
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,2300
C1CN1.C(CNCCN)N,0.16
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.8
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,0.7
C1COC(=O)OC1,2.4
C=CC=C.C=CC1=CC=CC=C1,100000
C=C.C=CCl,800
C1CN1,830
C[Si](C)=O,14.8
OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1200
C=CC=C.C=Cc1ccccc1,179000
C\C=C\C,14000
C=CC=C.C=Cc1ccccc1,18000
C=CC=C.C=Cc1ccccc1,15500
CC(=C)C=C.C=Cc1ccccc1,6590
[O]CC,0.068
C\C=C\C,57500
O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@@H]1CO.O=C(C)O[C@@H]3[C@@H](OC(C)=O)[C@@H]([C@@H](COC(C)=O)O[C@H]3OC(C)=O)O[C@H]4[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O4.O=C(C5=C(C(O)=O)C=C(C(O)=O)C=C5)O[C@@H]6[C@@H](OC(C7=CC=C(C(O)=O)C=C7C(O)=O)=O)[C@@H]([C@@H](COC(C8=CC=C(C(O)=O)C=C8C(O)=O)=O)O[C@H]6OC(C9=C(C(O)=O)C=C(C(O)=O)C=C9)=O)O[C@H]%10[C@H](OC(C%11=CC=C(C(O)=O)C=C%11C(O)=O)=O)[C@@H](OC(C%12=C(C(O)=O)C=C(C(O)=O)C=C%12)=O)[C@H](OC(C%13=C(C(O)=O)C=C(C(O)=O)C=C%13)=O)[C@@H](COC(C%14=CC=C(C(O)=O)C=C%14C(O)=O)=O)O%10,27000
